neighborhood,latitude,longitude
Opština Novi Beograd Stari Merkator,44.8280022,20.4125119
Opština Novi Beograd Ledine,44.8035245,20.3432558
Opština Voždovac Voždovačka crkva,44.779525,20.4711979
Opština Zemun Save Kovačevića,44.844921,20.3936839
Opština Čukarica Žarkovo,44.7615346,20.4130631
Opština Stari grad Bajlonijeva pijaca,44.81868,20.4671323
Opština Voždovac Šumice,44.7856266,20.4912167
Opština Novi Beograd Blok 65,44.8126665,20.3980309
Opština Savski venac Dedinje,44.7740688,20.4560195
Opština Savski venac Beograd na vodi,44.8048828,20.448043
Opština Zemun Retenzija,44.8348792,20.4119009
Opština Novi Beograd Dr Ivana Ribara,44.8000403,20.3694329
Opština Zvezdara Lion,44.7968154,20.4960362
Opština Novi Beograd Blok 9a,44.8318855,20.4149874
Opština Zvezdara Bulevar kralja Aleksandra,44.784341,20.5195324
Opština Novi Beograd Blok 64,44.808996,20.3917616
Opština Savski venac Senjak,44.7921816,20.4375457
Opština Surčin Surčin (mesto),44.7956031,20.2998398
Opština Palilula 27. marta,44.811466,20.4737306
Opština Zemun Donji grad,44.8414476,20.4123603
Opština Novi Beograd Blok 67 (Belvil),44.8060321,20.4092411
Opština Zvezdara Vukov Spomenik,44.8046413,20.4832729
Opština Rakovica Miljakovac,44.7470721,20.4518071
Opština Zvezdara Đeram pijaca,44.8013332,20.4872266
Opština Stari grad Dorćol,44.8252158,20.460523
Opština Novi Beograd Blok 29,44.8157598,20.4171526
Opština Zvezdara Mirijevo,44.7854051,20.5461547
Opština Novi Beograd Blok 67a (A blok),44.8061288,20.4015421
Opština Palilula Palilulska pijaca,44.8119208,20.4714936
Opština Vračar Hram svetog Save,44.7981382,20.4690468
Opština Stari grad Centar,44.8184554,20.4643411
Opština Voždovac Lekino brdo,44.7891937,20.4947692
Opština Zvezdara Konjarnik,44.7827202,20.5067648
Opština Stari grad Knez Mihailova,44.8177356,20.4569894
Opština Palilula Tašmajdan,44.8096815,20.469996
Opština Čukarica Banovo brdo,44.7767729,20.4155629
Opština Vračar Crveni krst,44.795856,20.4882292
Opština Zvezdara Denkova bašta,44.7880311,20.5009891
Opština Novi Beograd Blok 63,44.805903,20.3823845
Opština Zemun Karađorđev trg,44.837006,20.4174505
Opština Zemun Gornji grad,44.8596448,20.3767304
Opština Palilula Krnjača,44.8475573,20.5185941
Opština Zvezdara Dimitrija Tucovića,44.801971,20.4914278
Opština Vračar Pravni fakultet,44.8072896,20.472733
Opština Novi Beograd Blok 23,44.8084235,20.4240856
Opština Palilula Profesorska kolonija,44.8148751,20.4802817
Opština Vračar Kalenić pijaca,44.8001747,20.475769
Opština Vračar Centar,44.7995311,20.475025
Opština Novi Beograd Arena,44.8099561,20.3800881
Opština Savski venac Sarajevska,44.8029445,20.4541963
Opština Savski venac Gavrila Principa,44.8117361,20.4561673
Opština Čukarica Cerak,44.7520867,20.4184067
Opština Voždovac Banjica,44.7621061,20.4683341
Opština Novi Beograd Blok 22,44.811609,20.4264583
Opština Novi Beograd Blok 72,44.7998622,20.3677259
Opština Vračar Južni bulevar,44.793588,20.4809591
Opština Savski venac Kneza Miloša,44.8083301,20.4635596
Opština Novi Beograd Blok 62,44.8039695,20.376525
Opština Novi Beograd Blok 38,44.8180749,20.4047095
Opština Savski venac Centar,44.7821727,20.4514424
Opština Novi Beograd Hotel Jugoslavija,44.8295445,20.4201481
Opština Zemun Prvomajska,44.8417656,20.3867304
Opština Stari grad Andrićev venac,44.8097554,20.463919
Opština Palilula Višnjička Banja,44.82226,20.534591
Opština Novi Beograd YUBC,44.8224293,20.418225
Opština Stari grad Terazije,44.8126696,20.4612717
Opština Novi Beograd Fontana,44.8211636,20.410414
Opština Zvezdara Cvetkova pijaca,44.7929494,20.5037812
Opština Novi Beograd Blok 34 (Carina - Studentski grad),44.8251222,20.3993279
Opština Zvezdara Lipov lad,44.7953694,20.4940689
Opština Savski venac Topčider,44.7806304,20.4467514
Opština Palilula Ruzveltova,44.8068906,20.4803233
Opština Novi Beograd Blok 21,44.8145051,20.4303868
Opština Novi Beograd Blok 37,44.8202941,20.3992782
Opština Palilula Karaburma,44.8172662,20.509558
Opština Savski venac Sajam,44.7960044,20.4361732
Opština Zemun Kalvarija,44.83816,20.3975132
Opština Novi Beograd Bežanijska kosa 1,44.8220753,20.3882486
Opština Stari grad 25. maj,44.8184554,20.4643411
Opština Voždovac Centar,44.7761819,20.477074
Opština Palilula Bogoslovija,44.8151594,20.488473
Opština Voždovac Trošarina,44.7612309,20.4827283
Opština Voždovac Vojvode Stepe,44.7608581,20.4848359
Opština Stari grad Kalemegdan,44.8222662,20.4508992
Opština Zemun Galenika,44.8570829,20.3672942
Opština Stari grad Obilićev venac,44.8162419,20.4571706
Opština Voždovac Naselje Stepa Stepanović,44.75355,20.49656
Opština Rakovica Labudovo brdo,44.7281854,20.4235866
Opština Stari grad Politika,44.8157799,20.4647394
Opština Novi Beograd Blok 45 (TC Enjub),44.7983726,20.3743625
Opština Palilula Borča,44.8787385,20.4667137
Opština Novi Beograd Bežanijska kosa 3,44.8200035,20.3796226
Opština Vračar Beogradska,44.7995311,20.475025
Opština Novi Beograd Blok 61,44.8033864,20.3699008
Opština Zemun Zelena avenija,44.8377664,20.4049409
Opština Novi Beograd Bežanijska kosa 2,44.8189019,20.3858748
Opština Zemun Ćukovac,44.8456972,20.4057772
Opština Novi Beograd Blok 44 (TC Piramida),44.8019065,20.3869173
Opština Savski venac Zeleni venac,44.8120378,20.4582228
Opština Zemun Zemunske kapije,44.8557936,20.3825288
Opština Zvezdara Olimp,44.7941017,20.5096174
Opština Novi Beograd Blok 19a,44.8062034,20.4295152
Opština Savski venac Ekonomski fakultet,44.8118579,20.4549322
Opština Stari grad Trg Republike,44.816088,20.4599624
Opština Čukarica Filmski grad,44.7532443,20.4316466
Opština Voždovac Vitanovačka,44.7781744,20.4774302
Opština Palilula Cvijićeva,44.8123097,20.4784131
Opština Novi Beograd Tošin bunar,44.8174406,20.3948763
Opština Zemun Zemun Bačka,44.8483327,20.3796686
Opština Savski venac Palata pravde,44.8050588,20.4539077
Opština Savski venac Klinički centar,44.7988648,20.4562503
Opština Zemun Kej,44.8327662,20.4342809
Opština Zvezdara Crveni krst,44.795856,20.4882292
Opština Rakovica Vidikovac,44.7383997,20.4205895
Opština Novi Beograd Blok 24 (Super Vero),44.8100237,20.4175168
Opština Rakovica Stari Košutnjak,44.7570589,20.4457953
Opština Vračar Neimar,44.7945158,20.4695084
Opština Novi Beograd Opština,44.8099561,20.3800881
Opština Zvezdara Bulbulder,44.8028978,20.492606
Opština Stari grad Gundulićev venac,44.8203336,20.4690457
Opština Stari grad Skupština,44.8115854,20.4658261
Opština Novi Beograd Hotel Hyatt,44.8099561,20.3800881
Opština Zvezdara Zeleno brdo,44.7900404,20.5193333
Opština Voždovac Medaković 2,44.7751713,20.4979187
Opština Zvezdara Cvetanova ćuprija,44.7674746,20.5139649
Opština Vračar Slavija,44.8024894,20.4663216
Opština Palilula Zrenjaninski put,44.896794,20.4544953
Opština Palilula Centar,44.9398868,20.4626509
Opština Stari grad Trg Nikole Pašića,44.8125267,20.4631134
Opština Zvezdara Kluz,44.7767137,20.5324028
Opština Voždovac Farmaceutski fakultet,44.7471263,20.494329
Opština Stari grad K-District,44.8275932,20.4538718
Opština Savski venac Lisičji potok,44.76346,20.4578397
Opština Voždovac Medaković 1,44.7757766,20.505115
Opština Voždovac Braće Jerković,44.7705535,20.4943111
Opština Vračar Cvetni trg,44.8056269,20.4653886
